Concurso;Data_concurso;Dezena_01;Dezena_02;Dezena_03;Dezena_04;Dezena_05;Dezena_06;Dezena_07;Dezena_08;Dezena_09;Dezena_10;Dezena_11;Dezena_12;Dezena_13;Dezena_14;Dezena_15;
0001;29/09/2003;02;03;05;06;09;10;11;13;14;16;18;20;23;24;25;
0002;06/10/2003;01;04;05;06;07;09;11;12;13;15;16;19;20;23;24;
0003;13/10/2003;01;04;06;07;08;09;10;11;12;14;16;17;20;23;24;
0004;20/10/2003;01;02;04;05;08;10;12;13;16;17;18;19;23;24;25;
0005;27/10/2003;01;02;04;08;09;11;12;13;15;16;19;20;23;24;25;
0006;03/11/2003;01;02;04;05;06;07;10;12;15;16;17;19;21;23;25;
0007;10/11/2003;01;04;07;08;10;12;14;15;16;18;19;21;22;23;25;
0008;17/11/2003;01;05;06;08;09;10;13;15;16;17;18;19;20;22;25;
0009;24/11/2003;03;04;05;09;10;11;13;15;16;17;19;20;21;24;25;
0010;01/12/2003;02;03;04;05;06;08;09;10;11;12;14;19;20;23;24;
0011;08/12/2003;02;06;07;08;09;10;11;12;16;19;20;22;23;24;25;
0012;15/12/2003;01;02;04;05;07;08;09;10;11;12;14;16;17;24;25;
0013;22/12/2003;03;05;06;07;08;09;10;11;13;14;15;16;17;19;23;
0014;29/12/2003;01;02;05;06;07;09;13;14;15;18;19;20;21;23;25;
0015;05/01/2004;01;02;04;06;08;10;12;15;16;18;19;21;23;24;25;
0016;12/01/2004;02;05;06;07;08;10;12;13;15;17;19;21;23;24;25;
0017;19/01/2004;01;02;03;05;06;07;09;13;14;16;17;18;19;20;21;
0018;26/01/2004;02;06;07;08;10;11;14;15;17;18;19;20;22;23;24;
0019;02/02/2004;02;05;06;07;08;10;11;13;14;15;16;17;20;23;24;
0020;09/02/2004;03;04;06;07;08;09;10;14;16;17;18;19;20;23;24;
0021;16/02/2004;01;02;04;05;08;11;14;16;18;19;20;22;23;24;25;
0022;25/02/2004;01;02;03;04;05;06;07;09;10;12;13;14;15;22;25;
0023;01/03/2004;01;03;04;05;06;08;10;11;12;14;16;17;18;19;20;
0024;08/03/2004;01;02;03;05;07;10;11;14;17;19;20;21;23;24;25;
0025;15/03/2004;01;02;03;04;05;06;07;09;13;14;16;20;22;23;24;
0026;22/03/2004;05;07;08;09;10;11;13;14;16;17;19;20;21;22;23;
0027;29/03/2004;03;06;08;10;11;12;13;14;15;18;20;21;22;24;25;
0028;05/04/2004;01;03;07;09;10;11;12;13;14;16;17;18;19;20;21;
0029;12/04/2004;01;04;05;06;08;09;13;14;16;17;19;20;21;22;24;
0030;19/04/2004;01;02;03;04;06;07;08;11;14;17;19;20;21;22;23;
0031;26/04/2004;01;02;03;04;09;13;14;15;17;19;20;21;22;24;25;
0032;03/05/2004;01;02;04;06;07;09;10;11;14;15;16;17;20;22;23;
0033;10/05/2004;01;02;05;07;08;10;11;12;14;16;19;20;21;23;24;
0034;17/05/2004;01;02;04;07;08;09;10;11;15;16;18;19;20;21;23;
0035;24/05/2004;01;04;05;06;11;12;13;14;16;17;19;21;22;23;25;
0036;31/05/2004;01;04;05;07;08;10;11;14;17;19;20;21;22;23;24;
0037;07/06/2004;01;03;04;05;08;09;10;11;13;15;20;21;22;23;24;
0038;14/06/2004;01;02;03;06;07;08;09;10;13;14;15;16;22;24;25;
0039;21/06/2004;02;07;08;09;11;13;14;15;17;18;19;21;22;23;24;
0040;28/06/2004;01;02;05;07;08;10;12;13;14;16;17;20;21;22;24;
0041;05/07/2004;02;03;04;09;12;13;15;16;17;18;19;20;21;23;25;
0042;12/07/2004;01;03;04;05;06;08;11;12;14;15;17;21;22;24;25;
0043;19/07/2004;01;03;06;07;08;09;10;14;17;18;19;20;22;23;24;
0044;26/07/2004;03;04;05;06;10;11;12;13;14;18;19;21;23;24;25;
0045;02/08/2004;01;02;03;05;07;09;14;16;17;18;19;21;23;24;25;
0046;09/08/2004;01;02;04;05;06;08;10;11;14;18;19;21;23;24;25;
0047;16/08/2004;01;02;03;04;05;06;08;10;11;13;15;18;20;22;25;
0048;23/08/2004;02;05;06;07;11;13;15;16;17;18;19;20;21;22;23;
0049;30/08/2004;02;04;05;06;08;11;13;15;16;19;20;21;22;23;24;
0050;06/09/2004;01;02;03;06;07;09;10;11;12;13;19;20;21;23;25;
0051;13/09/2004;01;03;05;06;07;08;11;13;14;16;17;20;21;22;23;
0052;20/09/2004;01;02;04;08;09;11;12;13;15;16;21;22;23;24;25;
0053;27/09/2004;01;02;03;06;07;09;11;12;14;17;18;19;20;23;24;
0054;04/10/2004;02;04;05;06;07;08;09;12;14;16;18;20;21;22;24;
0055;11/10/2004;02;03;04;05;06;07;08;09;12;13;15;16;18;19;25;
0056;18/10/2004;01;02;05;09;12;13;14;15;16;17;19;20;22;23;24;
0057;25/10/2004;01;02;03;04;06;07;08;11;12;17;19;20;21;22;25;
0058;01/11/2004;03;04;05;06;11;12;13;14;15;16;17;18;19;20;22;
0059;08/11/2004;01;03;05;06;07;08;10;11;13;14;15;19;20;23;25;
0060;16/11/2004;01;02;03;04;05;08;11;16;17;18;19;22;23;24;25;
0061;22/11/2004;01;04;05;09;11;12;13;14;15;16;19;20;22;23;25;
0062;29/11/2004;01;03;07;08;09;11;13;14;15;16;17;18;20;24;25;
0063;06/12/2004;04;08;09;10;11;12;13;16;17;19;20;21;22;24;25;
0064;13/12/2004;01;02;03;06;07;08;09;10;13;14;17;18;20;23;25;
0065;20/12/2004;01;02;04;07;10;15;16;17;18;19;20;21;22;23;25;
0066;27/12/2004;01;02;04;08;10;11;14;15;16;17;20;21;22;23;24;
0067;03/01/2005;05;07;08;09;10;11;12;13;15;16;20;21;22;23;24;
0068;10/01/2005;01;02;03;05;06;07;08;09;10;12;16;17;22;23;25;
0069;17/01/2005;01;04;07;08;09;10;11;15;17;18;19;20;21;23;24;
0070;24/01/2005;01;02;03;05;06;09;10;12;14;15;16;19;20;24;25;
0071;31/01/2005;01;03;05;06;08;09;11;13;14;15;16;18;21;22;23;
0072;09/02/2005;01;02;05;07;08;11;12;13;15;16;17;18;23;24;25;
0073;14/02/2005;01;02;05;07;10;11;13;14;15;16;17;18;19;21;25;
0074;21/02/2005;01;02;03;04;05;06;08;11;13;15;16;18;22;23;25;
0075;28/02/2005;01;03;04;05;06;07;08;10;11;13;15;16;17;20;25;
0076;07/03/2005;01;03;05;08;09;10;12;13;15;16;17;19;21;23;25;
0077;14/03/2005;02;03;04;06;08;09;11;14;17;18;20;21;22;24;25;
0078;21/03/2005;01;02;03;05;06;07;08;12;13;15;16;17;18;20;23;
0079;28/03/2005;01;02;03;05;09;12;14;15;17;18;20;22;23;24;25;
0080;04/04/2005;01;02;03;04;05;07;09;10;14;15;17;18;20;22;25;
0081;11/04/2005;01;02;03;04;05;06;07;10;11;13;15;16;17;19;21;
0082;18/04/2005;01;04;05;06;08;09;12;13;15;17;18;19;20;22;23;
